epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,307.267,1.28419,3.20839,2.74502,1.44908,0,0.56203,0.43363,0.39879,0.24996,0.5605,0.42012,0.38638,0.2181,1.24421,2.72062,1.88441,1.38661,0,0.000221839,0.000221839,0.000221839
2,595.541,1.19975,2.75291,1.898,1.40782,0,0.51437,0.46521,0.45869,0.29294,0.51207,0.46444,0.4517,0.26212,1.24376,2.69072,1.76263,1.37941,0,0.000435378,0.000435378,0.000435378
3,897.827,1.16217,2.6647,1.73635,1.38072,0,0.60041,0.46982,0.48092,0.297,0.60459,0.47177,0.48033,0.27396,1.24758,2.6413,1.70455,1.37266,0,0.000640112,0.000640112,0.000640112
4,1206.38,1.13516,2.60972,1.64576,1.35658,0,0.54257,0.53049,0.5195,0.33994,0.54044,0.53341,0.51399,0.30061,1.14943,2.50734,1.56933,1.29908,0,0.00062738,0.00062738,0.00062738
5,1514.01,1.10925,2.53519,1.57669,1.33816,0,0.54124,0.5158,0.51463,0.33859,0.55006,0.50776,0.50484,0.30525,1.12344,2.53308,1.56985,1.28158,0,0.000614174,0.000614174,0.000614174
6,1822.98,1.09677,2.50733,1.53244,1.33397,0,0.61927,0.50128,0.55548,0.37334,0.60818,0.50831,0.54924,0.33172,1.08322,2.41378,1.50282,1.24319,0,0.000600967,0.000600967,0.000600967
7,2135.73,1.07935,2.44376,1.49418,1.31974,0,0.61301,0.53201,0.54951,0.36634,0.61024,0.54136,0.54098,0.33418,1.07405,2.35552,1.45462,1.22434,0,0.00058776,0.00058776,0.00058776
8,2447.37,1.06652,2.44234,1.46279,1.31157,0,0.59257,0.56076,0.57934,0.39656,0.57932,0.5722,0.56901,0.35477,1.02879,2.34564,1.40175,1.20265,0,0.000574554,0.000574554,0.000574554
9,2760.1,1.05081,2.40294,1.43079,1.3018,0,0.60711,0.57984,0.58392,0.40183,0.60709,0.57181,0.57654,0.36699,1.06233,2.27764,1.38929,1.20535,0,0.000561347,0.000561347,0.000561347
10,3077.89,1.03491,2.37441,1.39867,1.29109,0,0.63175,0.58619,0.60331,0.4152,0.62856,0.57552,0.59134,0.36915,1.03072,2.31866,1.33977,1.20054,0,0.000548141,0.000548141,0.000548141
11,3392.19,1.02037,2.33819,1.37497,1.28161,0,0.62347,0.57708,0.60858,0.42687,0.65603,0.55211,0.6007,0.38481,1.02549,2.23908,1.31879,1.17847,0,0.000534934,0.000534934,0.000534934
12,3704.41,1.02732,2.3377,1.36428,1.27726,0,0.61427,0.5824,0.61684,0.42842,0.64213,0.57415,0.608,0.38548,1.00755,2.20156,1.29268,1.17987,0,0.000521727,0.000521727,0.000521727
13,4014.75,1.01506,2.31251,1.33431,1.2728,0,0.62314,0.60277,0.61823,0.43288,0.64642,0.58156,0.61122,0.38339,1.00138,2.20543,1.2791,1.16459,0,0.000508521,0.000508521,0.000508521
14,4326.99,1.00833,2.30141,1.31832,1.2694,0,0.64064,0.57347,0.61706,0.42889,0.64997,0.5758,0.61259,0.38626,1.00648,2.22166,1.31551,1.17342,0,0.000495314,0.000495314,0.000495314
15,4635.3,1.00293,2.27471,1.31134,1.26681,0,0.6352,0.6069,0.6249,0.43598,0.64157,0.60433,0.61917,0.39894,1.01078,2.14762,1.27951,1.17101,0,0.000482108,0.000482108,0.000482108
16,4945.54,0.99388,2.2493,1.28958,1.25936,0,0.60924,0.62304,0.62107,0.4235,0.61432,0.62307,0.61732,0.38056,1.03624,2.17621,1.29578,1.17984,0,0.000468901,0.000468901,0.000468901
17,5257.77,0.98189,2.24414,1.27922,1.25386,0,0.62838,0.61815,0.63552,0.44621,0.62054,0.61795,0.62931,0.39793,0.9879,2.16766,1.26788,1.1595,0,0.000455694,0.000455694,0.000455694
18,5566.91,0.97477,2.2175,1.26044,1.24623,0,0.65409,0.6058,0.64048,0.45144,0.64947,0.59734,0.62538,0.40182,0.98801,2.15281,1.24749,1.15396,0,0.000442488,0.000442488,0.000442488
19,5883.81,0.96768,2.19897,1.24475,1.24893,0,0.66385,0.59553,0.64403,0.45222,0.67888,0.60313,0.64013,0.40269,1.00016,2.14922,1.23452,1.16315,0,0.000429281,0.000429281,0.000429281
20,6198.61,0.96462,2.18052,1.23765,1.23985,0,0.64057,0.6495,0.65595,0.46448,0.63958,0.6469,0.64985,0.41934,0.97318,2.09561,1.19448,1.14442,0,0.000416075,0.000416075,0.000416075
21,6510.24,0.96214,2.17047,1.22997,1.24135,0,0.67634,0.603,0.65297,0.46255,0.69268,0.59536,0.64702,0.42089,0.96559,2.11822,1.19697,1.14576,0,0.000402868,0.000402868,0.000402868
22,6821.33,0.95913,2.15318,1.22046,1.23809,0,0.66524,0.60671,0.64492,0.45701,0.67214,0.60612,0.63837,0.40731,0.95947,2.08716,1.19565,1.13424,0,0.000389661,0.000389661,0.000389661
