epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,293.361,1.28419,3.20839,2.74502,1.44908,0,0.56203,0.43363,0.39879,0.24996,0.5605,0.42012,0.38638,0.2181,1.24421,2.72062,1.88441,1.38661,0,0.000221839,0.000221839,0.000221839
2,584.144,1.20075,2.75595,1.89787,1.4105,0,0.60892,0.47473,0.46362,0.29798,0.60248,0.47101,0.45048,0.26269,1.1695,2.66869,1.69389,1.31767,0,0.000440655,0.000440655,0.000440655
3,877.043,1.163,2.67161,1.74186,1.38384,0,0.63018,0.44865,0.48269,0.30268,0.61686,0.45848,0.47879,0.27542,1.19786,2.60701,1.7336,1.33832,0,0.000655948,0.000655948,0.000655948
4,1176.66,1.13387,2.61387,1.65272,1.3575,0,0.57059,0.52359,0.52062,0.34481,0.60188,0.5271,0.51579,0.30623,1.11946,2.49604,1.56739,1.27998,0,0.000651152,0.000651152,0.000651152
5,1479.85,1.11116,2.53962,1.57888,1.34396,0,0.57745,0.5029,0.52761,0.3416,0.58893,0.50558,0.52023,0.30749,1.14873,2.48026,1.56707,1.29345,0,0.000645869,0.000645869,0.000645869
6,1779.07,1.09794,2.51386,1.53815,1.3341,0,0.6088,0.53698,0.56095,0.37486,0.60746,0.52654,0.55609,0.33924,1.07843,2.3876,1.45695,1.23389,0,0.000640587,0.000640587,0.000640587
7,2078.91,1.08857,2.45464,1.50301,1.32449,0,0.60002,0.53563,0.55597,0.36899,0.60885,0.53924,0.55002,0.33243,1.07721,2.38763,1.4601,1.24268,0,0.000635304,0.000635304,0.000635304
8,2387.2,1.07325,2.43975,1.46953,1.31643,0,0.63651,0.53258,0.56672,0.38051,0.6612,0.53103,0.56374,0.34377,1.05785,2.34272,1.43724,1.227,0,0.000630022,0.000630022,0.000630022
9,2689.93,1.05331,2.41432,1.43483,1.3041,0,0.59604,0.56692,0.58261,0.39638,0.60584,0.57113,0.58051,0.36074,1.06026,2.28474,1.37918,1.21247,0,0.000624739,0.000624739,0.000624739
10,2991.18,1.04326,2.38818,1.41022,1.29757,0,0.59896,0.57496,0.59092,0.40659,0.60054,0.57507,0.58327,0.36761,1.03389,2.30868,1.36027,1.19568,0,0.000619456,0.000619456,0.000619456
11,3286.55,1.0317,2.35753,1.38792,1.28919,0,0.60444,0.55712,0.59206,0.40537,0.60292,0.5568,0.58506,0.36478,1.05537,2.28756,1.40395,1.20464,0,0.000614174,0.000614174,0.000614174
12,3586.66,1.03494,2.35135,1.37547,1.28604,0,0.62206,0.56936,0.60962,0.4258,0.58247,0.60655,0.60531,0.38228,1.00988,2.23378,1.3278,1.19859,0,0.000608891,0.000608891,0.000608891
13,3889.27,1.02584,2.33182,1.34837,1.28126,0,0.63645,0.57966,0.61229,0.42783,0.64642,0.57968,0.60741,0.38225,1.00991,2.20215,1.3078,1.17047,0,0.000603608,0.000603608,0.000603608
14,4189.68,1.01903,2.33214,1.33862,1.27731,0,0.60908,0.56754,0.59221,0.41014,0.61738,0.56779,0.5878,0.36889,1.0312,2.26231,1.3191,1.17752,0,0.000598326,0.000598326,0.000598326
15,4489.95,1.01455,2.28871,1.33089,1.27583,0,0.60701,0.61568,0.62482,0.43774,0.63699,0.59397,0.62443,0.39625,1.01793,2.16538,1.2692,1.17489,0,0.000593043,0.000593043,0.000593043
16,4792.89,1.00389,2.27135,1.30528,1.26785,0,0.6353,0.61482,0.6185,0.42219,0.65192,0.60523,0.61583,0.38473,1.03551,2.21722,1.29698,1.19673,0,0.00058776,0.00058776,0.00058776
17,5091.22,0.99461,2.26906,1.30011,1.26459,0,0.60163,0.59523,0.6109,0.42171,0.62079,0.59501,0.60617,0.37804,1.027,2.23108,1.33025,1.18364,0,0.000582478,0.000582478,0.000582478
18,5393.01,0.98962,2.24201,1.28297,1.25592,0,0.64588,0.5742,0.62231,0.43726,0.64863,0.56881,0.61179,0.39024,1.00548,2.21624,1.28022,1.16489,0,0.000577195,0.000577195,0.000577195
19,5695.49,0.97931,2.22332,1.26453,1.25664,0,0.65053,0.61984,0.64321,0.44526,0.65462,0.60859,0.6297,0.39592,1.01578,2.17267,1.24804,1.18156,0,0.000571912,0.000571912,0.000571912
20,5997.05,0.9793,2.21251,1.25781,1.25048,0,0.67369,0.60693,0.64801,0.45262,0.70321,0.58796,0.6368,0.40567,0.98967,2.12619,1.21042,1.15819,0,0.00056663,0.00056663,0.00056663
21,6295.13,0.97933,2.20356,1.25466,1.25183,0,0.62382,0.63448,0.63517,0.44825,0.62637,0.63506,0.62621,0.40541,1.00282,2.14247,1.2384,1.17332,0,0.000561347,0.000561347,0.000561347
22,6595.71,0.97869,2.18962,1.24354,1.24957,0,0.6572,0.60291,0.6388,0.44925,0.65977,0.60367,0.63433,0.40718,0.97976,2.13537,1.23623,1.15764,0,0.000556065,0.000556065,0.000556065
23,6896.75,0.96573,2.18137,1.22895,1.23819,0,0.59252,0.6194,0.62626,0.44171,0.60342,0.60834,0.61515,0.39755,0.98595,2.1907,1.25152,1.1614,0,0.000550782,0.000550782,0.000550782
24,7215.63,0.97804,2.17855,1.22895,1.24353,0,0.64581,0.60863,0.63359,0.44549,0.65974,0.60303,0.63075,0.40484,0.96665,2.10144,1.25359,1.14681,0,0.000545499,0.000545499,0.000545499
25,7519,0.96068,2.15408,1.21645,1.23539,0,0.63137,0.62183,0.63995,0.45892,0.64877,0.61326,0.63483,0.40595,0.95615,2.14382,1.2025,1.13679,0,0.000540217,0.000540217,0.000540217
