epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,290.802,1.28419,3.20839,2.74502,1.44908,0,0.56203,0.43363,0.39879,0.24996,0.5605,0.42012,0.38638,0.2181,1.24421,2.72062,1.88441,1.38661,0,0.000221839,0.000221839,0.000221839
2,575.736,1.19969,2.75446,1.89339,1.41036,0,0.50108,0.48328,0.46628,0.29876,0.49236,0.47021,0.44961,0.26158,1.18785,2.6677,1.70542,1.32982,0,0.000441241,0.000441241,0.000441241
3,866.085,1.16475,2.66963,1.7374,1.38217,0,0.59488,0.45225,0.46331,0.28363,0.59959,0.44982,0.45909,0.26707,1.26932,2.65392,1.80651,1.38259,0,0.000657708,0.000657708,0.000657708
4,1163.96,1.13858,2.61306,1.65116,1.35875,0,0.57417,0.50524,0.52422,0.3416,0.56728,0.53341,0.52005,0.30404,1.12943,2.49931,1.57781,1.29239,0,0.000653793,0.000653793,0.000653793
5,1459.42,1.11565,2.54798,1.58137,1.34293,0,0.5757,0.5055,0.53632,0.35107,0.5799,0.49851,0.52776,0.31603,1.10925,2.49294,1.51657,1.2667,0,0.000649391,0.000649391,0.000649391
6,1752.94,1.09977,2.51394,1.53447,1.33466,0,0.58098,0.50267,0.54369,0.36192,0.58588,0.50572,0.53781,0.32153,1.09391,2.40575,1.48296,1.25143,0,0.000644989,0.000644989,0.000644989
7,2047.52,1.08575,2.45889,1.504,1.32306,0,0.60737,0.54458,0.56169,0.37676,0.60742,0.54605,0.55002,0.34213,1.08651,2.41185,1.45991,1.24427,0,0.000640587,0.000640587,0.000640587
8,2350.65,1.07684,2.44495,1.4733,1.31775,0,0.63319,0.54372,0.56831,0.38432,0.62857,0.54962,0.5595,0.34245,1.05994,2.35418,1.43126,1.22729,0,0.000636185,0.000636185,0.000636185
9,2643.18,1.05545,2.417,1.43727,1.30798,0,0.58121,0.57469,0.56577,0.38148,0.58611,0.56985,0.56133,0.35315,1.07658,2.30091,1.41315,1.22665,0,0.000631782,0.000631782,0.000631782
10,2940.85,1.04621,2.38587,1.41204,1.29853,0,0.61772,0.5894,0.59884,0.41499,0.62235,0.58553,0.59115,0.37234,1.04908,2.32606,1.38185,1.22369,0,0.00062738,0.00062738,0.00062738
11,3245.38,1.03401,2.34907,1.3851,1.29124,0,0.6334,0.54722,0.59773,0.4141,0.64275,0.5518,0.59467,0.37535,1.04313,2.26121,1.36085,1.19335,0,0.000622978,0.000622978,0.000622978
12,3542.86,1.03741,2.35071,1.37276,1.28512,0,0.6235,0.58156,0.61219,0.42789,0.65611,0.57948,0.61123,0.3852,1.01701,2.2339,1.33023,1.1911,0,0.000618576,0.000618576,0.000618576
13,3841.15,1.028,2.33101,1.34234,1.28097,0,0.62141,0.59378,0.60497,0.42006,0.62904,0.59118,0.59598,0.37007,1.03135,2.24067,1.31489,1.18367,0,0.000614174,0.000614174,0.000614174
14,4144.45,1.01858,2.32743,1.33475,1.27379,0,0.62818,0.56454,0.58742,0.40751,0.62986,0.56576,0.58327,0.36856,1.03397,2.27847,1.35077,1.18625,0,0.000609771,0.000609771,0.000609771
15,4442.19,1.01751,2.29564,1.32727,1.27527,0,0.66023,0.56384,0.62372,0.43296,0.66565,0.55859,0.6143,0.38698,1.01878,2.18694,1.28687,1.18462,0,0.000605369,0.000605369,0.000605369
16,4739.74,1.00621,2.27294,1.30437,1.26765,0,0.64976,0.602,0.62944,0.43284,0.66068,0.59889,0.62186,0.39131,1.03274,2.21918,1.29593,1.18858,0,0.000600967,0.000600967,0.000600967
