epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,152.27,1.2418,3.25424,3.20217,1.41108,0,0.55242,0.36473,0.31978,0.19402,0.53931,0.36634,0.30922,0.16647,1.24772,2.80282,2.05086,1.35748,0,0.00997778,0.00332593,0.00997778,0.00332593,0.00997778,0.00332593,0.00997778,0.00332593
2,278.848,1.21012,2.77589,1.9921,1.39011,0,0.49811,0.44342,0.43113,0.27074,0.55067,0.42852,0.41779,0.24318,1.17663,2.72067,1.78219,1.30524,0,0.0198789,0.0066263,0.0198789,0.0066263,0.0198789,0.0066263,0.0198789,0.0066263
3,398.458,1.20456,2.74079,1.81739,1.39537,0,0.53586,0.42404,0.39815,0.23391,0.52823,0.42122,0.38628,0.21156,1.33388,2.98937,1.98107,1.4077,0,0.029681,0.00989367,0.029681,0.00989367,0.029681,0.00989367,0.029681,0.00989367
4,516.083,1.21673,2.75848,1.78306,1.40322,0,0.53325,0.44718,0.4551,0.28502,0.51454,0.43989,0.43802,0.25615,1.22185,2.74207,1.83024,1.37922,0,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,633.674,1.18644,2.67536,1.70563,1.38863,0,0.58373,0.47483,0.49404,0.31148,0.59489,0.46873,0.48042,0.27594,1.19666,2.7385,1.69094,1.32192,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,749.447,1.16347,2.64076,1.65514,1.37751,0,0.59748,0.46722,0.49838,0.32466,0.60363,0.46286,0.49323,0.29439,1.14707,2.526,1.60628,1.30166,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,865.525,1.15079,2.57762,1.61055,1.36625,0,0.59794,0.47264,0.50934,0.33025,0.59421,0.47454,0.4994,0.29753,1.15464,2.56175,1.58581,1.29623,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,981.704,1.13165,2.55063,1.56522,1.3541,0,0.61279,0.50904,0.53989,0.35576,0.60779,0.50753,0.53014,0.31119,1.14499,2.51708,1.52516,1.27675,0,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1097.72,1.11092,2.5148,1.53021,1.3433,0,0.59737,0.51823,0.55239,0.36576,0.59303,0.52008,0.54356,0.3334,1.11696,2.41203,1.48407,1.25168,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1213.95,1.09458,2.48146,1.49393,1.33032,0,0.59043,0.55025,0.55478,0.36872,0.5903,0.5453,0.5467,0.32857,1.08056,2.41029,1.44446,1.22991,0,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
